UBIGEO,departamento,provincia,densidad_poblacional,poblacion,altitud,superficie
0801,CUSCO,CUSCO,725.4262561,447588,3414,617
0802,CUSCO,ACOMAYO,24.1926979,22940,3221,948.22
0803,CUSCO,ANTA,29.95863804,56206,3345,1876.12
0804,CUSCO,CALCA,14.30629586,63155,2905,4414.49
0805,CUSCO,CANAS,15.44092482,32484,3910,2103.76
0806,CUSCO,CANCHIS,23.94787049,95774,3546,3999.27
0807,CUSCO,CHUMBIVILCAS,12.3643662,66410,3678,5371.08
0808,CUSCO,ESPINAR,10.84184226,57582,3924,5311.09
0809,CUSCO,LA CONVENCION ,4.894846686,147148,1063,30061.82
0810,CUSCO,PARURO,12.88386531,25567,3068,1984.42
0811,CUSCO,PAUCARTAMBO,6.752014691,42504,3005,6295.01
0812,CUSCO,QUISPICANCHI,11.55749201,87430,3158,7564.79
0813,CUSCO,URUBAMBA,42.19656392,60739,2869,1439.43
