fecha,positivo,positivo_rapida,positivo_molecular,positivo_antigenica,muestra,muestra_rapida,muestra_molecular,muestra_antigenica,sintomaticos,defunciones,inicio,inicio_molecular,inicio_rapida,inicio_antigenica,recuperado,total_positivo,total_positivo_rapida,total_positivo_molecular,total_positivo_antigenica,total_muestra,total_muestra_rapida,total_muestra_molecular,total_muestra_antigenica,total_recuperado,total_sintomaticos,total_defunciones,total_inicio,total_inicio_molecular,total_inicio_rapida,total_inicio_antigenica,posi,posi_rapida,posi_molecular,posi_antigenica,dias,primera_ola_positivo,segunda_ola_positivo,primera_ola_defunciones,segunda_ola_defunciones,primera_ola_tasamolecular,segunda_ola_tasamolecular
2020-03-06,,,,,,,,,,,1,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,,,,,1,,96,1,4,.22857143,.2020202
2020-03-08,,,,,,,,,,,1,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,,,,,2,,117,3,2,.24285714,.33333334
2020-03-10,,,,,,,,,,,2,2,2,0,,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,,,,,3,,111,0,5,.23076923,.30588236
2020-03-13,1,0,1,0,3,0,3,0,1,0,,,,,,1,0,1,0,3,0,3,0,0,1,0,4,4,4,0,.33333334,,.33333334,,4,0,109,5,5,.12711865,.21052632
2020-03-14,0,0,0,0,1,1,0,0,0,0,1,1,1,0,,1,0,1,0,4,1,3,0,0,1,0,5,5,5,0,0,0,,,5,0,216,7,8,.1242236,
2020-03-15,0,0,0,0,19,3,16,0,0,0,3,3,3,0,,1,0,1,0,23,4,19,0,0,1,0,8,8,8,0,0,0,0,,6,0,157,1,6,.063829787,.32692307
2020-03-16,0,0,0,0,2,0,2,0,0,0,2,2,2,0,,1,0,1,0,25,4,21,0,0,1,0,10,10,10,0,0,,0,,7,0,32,2,7,,
2020-03-17,0,0,0,0,1,0,1,0,0,0,1,1,1,0,,1,0,1,0,26,4,22,0,0,1,0,11,11,11,0,0,,0,,8,0,106,2,12,.1201923,.25925925
2020-03-18,3,0,3,0,16,0,16,0,3,0,4,4,4,0,,4,0,4,0,42,4,38,0,0,4,0,15,15,15,0,.1875,,.1875,,9,0,217,2,9,.11981567,.41249999
2020-03-19,0,0,0,0,3,2,1,0,0,0,2,2,2,0,,4,0,4,0,45,6,39,0,0,4,0,17,17,17,0,0,0,0,,10,0,318,3,10,.13664596,.3548387
2020-03-20,1,1,0,0,14,2,12,0,0,0,5,5,5,0,,5,1,4,0,59,8,51,0,0,4,0,22,22,22,0,.071428575,.5,0,,11,0,198,2,3,.18548387,.27173913
2020-03-21,0,0,0,0,11,0,11,0,0,0,3,3,3,0,,5,1,4,0,70,8,62,0,0,4,0,25,25,25,0,0,,0,,12,0,283,1,11,.16528925,.22222222
2020-03-22,3,1,2,0,5,1,4,0,2,0,3,3,3,0,,8,2,6,0,75,9,66,0,0,6,0,28,28,28,0,.60000002,1,.5,,13,0,316,2,8,.09259259,.11111111
2020-03-23,0,0,0,0,17,0,17,0,0,0,2,2,2,0,,8,2,6,0,92,9,83,0,0,6,0,30,30,30,0,0,,0,,14,0,45,5,10,,
2020-03-24,4,0,4,0,14,0,13,0,4,1,7,7,7,0,,12,2,10,0,106,9,96,0,0,10,1,37,37,37,0,.2857143,,.30769232,,15,0,129,3,13,.24324325,.22058824
2020-03-25,1,1,0,0,2,2,0,0,0,0,6,6,6,0,,13,3,10,0,108,11,96,0,0,10,1,43,43,43,0,.5,.5,,,16,0,62,2,11,.15178572,.24418604
2020-03-26,0,0,0,0,1,0,1,0,0,0,4,4,4,0,,13,3,10,0,109,11,97,0,0,10,1,47,47,47,0,0,,0,,17,0,112,0,8,.17475729,.33333334
2020-03-27,2,0,2,0,19,0,18,0,2,1,3,3,3,0,2,15,3,12,0,128,11,115,0,2,12,2,50,50,50,0,.10526316,,.11111111,,18,0,67,2,13,.08730159,.19863014
2020-03-28,16,0,16,0,30,1,29,0,16,0,1,1,1,0,,31,3,28,0,158,12,144,0,2,28,2,51,51,51,0,.53333336,0,.55172414,,19,0,26,1,11,.11235955,.32592592
