IDDIST;distrito;PROVINCIA;PR_positivo;PM_positivo;TOTAL_positivo;PR_negativo;PM_negativo;TOTAL_negativo
080201;ACOMAYO;ACOMAYO;112;5;117;1349;74;1423
080202;ACOPIA;ACOMAYO;53;0;53;251;8;259
080203;ACOS;ACOMAYO;9;3;12;163;12;175
080204;MOSOC LLACTA;ACOMAYO;15;2;17;77;1;78
080205;POMACANCHI;ACOMAYO;116;10;126;820;77;897
080206;RONDOCAN;ACOMAYO;21;0;21;134;1;135
080207;SANGARARA;ACOMAYO;84;5;89;476;11;487
080301;ANCAHUASI;ANTA;114;4;118;742;7;749
080302;ANTA;ANTA;914;66;980;4897;116;5013
080303;CACHIMAYO;ANTA;118;14;132;798;30;828
080304;CHINCHAYPUJIO;ANTA;82;0;82;552;2;554
080305;HUAROCONDO;ANTA;113;13;126;751;43;794
080306;LIMATAMBO;ANTA;293;17;310;2348;29;2377
080307;MOLLEPATA;ANTA;51;0;51;541;6;547
080308;PUCYURA;ANTA;113;4;117;499;3;502
080309;ZURITE;ANTA;72;1;73;571;5;576
080401;CALCA;CALCA;567;17;584;5049;84;5133
080402;COYA;CALCA;86;4;90;455;18;473
080403;LAMAY;CALCA;83;10;93;833;14;847
080404;LARES;CALCA;35;1;36;391;1;392
080405;PISAC;CALCA;215;24;239;1087;33;1120
080406;SAN SALVADOR;CALCA;122;1;123;792;4;796
080407;TARAY;CALCA;112;4;116;612;13;625
080408;YANATILE;CALCA;78;1;79;1125;26;1151
080502;CHECCA;CANAS;39;0;39;399;2;401
080503;KUNTURKANKI;CANAS;38;1;39;367;1;368
080504;LANGUI;CANAS;28;1;29;159;5;164
080505;LAYO;CANAS;79;1;80;693;9;702
080506;PAMPAMARCA;CANAS;26;0;26;230;9;239
080507;QUEHUE;CANAS;16;0;16;155;17;172
080508;TUPAC AMARU;CANAS;18;0;18;157;18;175
080501;YANAOCA;CANAS;121;11;132;980;106;1086
080602;CHECACUPE;CANCHIS;56;0;56;831;4;835
080603;COMBAPATA;CANCHIS;120;6;126;948;13;961
080604;MARANGANI;CANCHIS;193;3;196;1098;3;1101
080605;PITUMARCA;CANCHIS;94;0;94;941;4;945
080606;SAN PABLO;CANCHIS;50;1;51;442;3;445
